location,special
Language Wing 1st Floor Hallway,LinearVideo
Language Wing 2nd Floor Hallway,LinearVideo
Library 1,8
Library 2,
Library 3,
Library 4,
Library 5,
Library 6,
Library 7,
Library 8,
Room 3,
Room 4,
Room 5,
Room 6,
Room 7,
Room 8,
Room 9,
Room 10,
Room 11,
Room 12 1,2
Room 12 2,
Room 12A,
Room 13,
Room 14,
Room 15,
Room 16,
Room 17,
Room 18,
Room 19,
Room 20 1,2
Room 20 2,
Room 21,
Room 22,
Room 22A 1,2
Room 22A 2,
Room 23,
Room 24,
Room 25 1,2
Room 25 2,
Room 26 1,2
Room 26 2,
Room 26A,
Room 28,
Room 28A,
Room 29,
Room 35,
Room 36,
Room 37,
Room 38,
Room 39,
Room 40,
Room 41,
South 1st Floor Hallway,360Video
South 2nd Floor Hallway,360Video
South Foyer,360Video
South Boiler Room,
South Boys Changeroom,
South Cafeteria,
South Courtyard 1,3 LinearVideo
South Courtyard 2,
South Courtyard 3,
South Girls Changeroom,
South Gym 1,3
South Gym 2,
South Gym 3,
South Gym Equipment Room 1,
South Gym Equipment Room 2,
South Gym Stage,
South Science Supply 1,
South Science Supply 2,
South Staffroom,LinearVideo
South Stage Left Stairs,
South Stage Right Stairs,
South Stairway 1 1,2
South Stairway 1 2,
South Stairway 2,
South Stairway 3,
South Stairway 4,LinearVideo
South Tech Ed Hallway,360Video
Sports Centre,
Sports Centre Hallway,360Video
Weight Training 1,3
Weight Training 2,
Weight Training 3,